ssn,rssn,stationID,firstName,middleName,lastName,city,street,apartment,joiningDate,salary,contactNumber,Year,Month

'312196531','3111203764','312','Mohammad' ,'Youssef','Azzam','Beirut','Ain Al Mraiseh','7','2019-07-10','1600','81876037','1989','1'
'312042345','3121678247','312','William','Georges','Saliba','Beirut','Hamra','29','2004-04-15','2100','81158610','1992','4'
'312074327','4710112621','312','Mamdouh','Shamdeen','Araji','Zahle','Maalaka' ,'37','2007-07-11','1100','81762457','1995','7'

'471106411','4710112436','471','Andrew','Youssef','Saliba','Zahle','Maalaka' ,'5','2010-10-04','1200','81876255','1998','10'
'471191532','4720082391','471','Mansour','Elias','Farah','Zahle','Wadi Al Arayech','14','2019-07-26','1000','03157914','2001','1'
471106432,4710115181,471,Andrew,Yousef,Saliba,Zahle,Maalaka ,5,2010-10-12,1500,81876255,,2004,4

'733134562','7310106362','733','Ghada','Mostafa','Asaad','Tripoli','Bohssas','12','2013-01-29','1400','78194760','2007','7'
'733191987','7320219348','733','Tony','Melhem','Rizk','Tripoli','Mina','19','2019-07-15','800','70124978','2010','10'
'733923456','3111201576','733','Hasan','Ali','Hawa','Beirut','Ain Al Mraiseh','63','1992-04-22','1500','71457488','2013','1'

'862198126','8610101238','862','Ali' ,'Mahmoud','Habash','Tyre','Abbasiyye','11','2019-07-05','1000','70927842','2016','4'
'862136349','8610012865','862','Rami','Saed','Al Sayyed','Tyre','Borj El Chamali','94','2013-01-06','1350','03715841','2019','7'
'862136824','3121247890','862','George','Toufik' ,'Boustany','Beirut','Hamra','14','2013-01-08','1600','03944834','2022','10'
